binId	dojezdy_all	dojezdy_urgent	dojezdy_very_urgent	count_all	count_urgent	count_very_urgent	DUŠNOST	ÚRAZ	BOLEST BŘICHA	PÁD	NESP.NEURO. PŘÍZ.	JINÉ POT.AK.	STENOKARDIE	JINÉ POT./ZH.STAVU	PO KOLAPSU	BEZVĚDOMÍ	NEVOLNOST	BOLEST ZAD 	PSYCHÓZA	NAPADENÍ	INTOXIKACE	SOMNOLENCE	KRVÁCENÍ	DN	HYPERT.	ARYTMIE	BOLEST DK	TEPLOTA	KŘEČE/PO KŘEČI	K PORODU	BOLEST JINÁ	DUŠNOST_time	ÚRAZ_time	BOLEST BŘICHA_time	PÁD_time	NESP.NEURO. PŘÍZ._time	JINÉ POT.AK._time	STENOKARDIE_time	JINÉ POT./ZH.STAVU_time	PO KOLAPSU_time	BEZVĚDOMÍ_time	NEVOLNOST_time	BOLEST ZAD _time	PSYCHÓZA_time	NAPADENÍ_time	INTOXIKACE_time	SOMNOLENCE_time	KRVÁCENÍ_time	DN_time	HYPERT._time	ARYTMIE_time	BOLEST DK_time	TEPLOTA_time	KŘEČE/PO KŘEČI_time	K PORODU_time	BOLEST JINÁ_time
556	12.00	12.00	11.00	19	12	3	0	0	0	6	0	1	1	0	0	0	1	0	0	0	0	1	0	5	1	0	0	0	1	0	0	0	0	0	13.00	0	15.00	14.00	0	0	0	6.00	0	0	0	0	7.00	0	11.00	15.00	0	0	0	17.00	0	0
557	12.00	13.00	14.00	11	8	4	1	1	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	14.00	12.00	12.00	7.00	0	7.00	0	0	0	0	0	0	0	0	14.00	0	0	8.00	0	0	0	0	13.00	11.00	14.00
558	11.00	11.00	12.00	27	21	13	2	3	3	1	1	0	0	1	3	2	0	1	0	2	2	0	0	0	0	0	0	1	0	1	2	12.00	11.00	12.00	9.00	12.00	0	0	17.00	9.00	13.00	0	16.00	0	11.00	16.00	0	0	0	0	0	0	16.00	0	15.00	11.00
562	7.00	7.00	7.00	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
563	9.00	9.00	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
565	8.00	8.00	8.00	3	3	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11.00	0	0	0	0	0	0	0	0	0	0	8.00	0	0	0	0	0	0	0	0	0	0	0	0
566	9.00	9.00	9.00	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
589	11.00	11.00	5.00	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5.00	0	0	0	0	0	0	0	0	0	0	0	0	0	11.00	0	0	14.00	0	0	0	0	0	0	0
590	12.00	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	0	0	0	0	0	0	0
591	14.00	14.00	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.00	0	0	0	0	0	0	0
592	12.00	12.00	0	5	5	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10.00	0	15.00	0	0	0	0	0	0	12.00	0	0	0	0	0	0	0	0	0	13.00	0	0
593	9.00	9.00	9.00	52	41	11	2	9	1	6	2	3	3	1	4	4	2	0	0	1	3	0	2	3	0	0	0	0	1	0	0	9.00	8.00	6.00	8.00	10.00	7.00	8.00	11.00	9.00	9.00	11.00	0	0	7.00	11.00	0	12.00	11.00	0	0	0	0	8.00	0	0
594	9.00	10.00	9.00	193	152	75	21	21	27	5	16	10	11	9	3	3	2	10	2	4	2	2	5	2	2	3	4	3	1	2	3	10.00	7.00	10.00	7.00	10.00	8.00	8.00	10.00	8.00	9.00	8.00	9.00	12.00	12.00	9.00	10.00	9.00	10.00	12.00	10.00	12.00	9.00	11.00	12.00	11.00
595	10.00	9.00	9.00	56	44	13	4	9	2	3	2	3	4	3	1	1	4	1	3	0	0	2	3	0	1	1	0	1	1	0	1	10.00	9.00	8.00	11.00	17.00	8.00	10.00	11.00	10.00	8.00	11.00	9.00	10.00	0	0	10.00	11.00	0	10.00	15.00	0	5.00	13.00	0	9.00
596	9.00	8.00	8.00	4	3	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9.00	0	0	11.00	0	0	0	0	0	0	0	0	0	0	0	7.00	0	0	0	0	0	0	0
597	8.00	8.00	0	6	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11.00	0	0	0	0	0	0	0	0	8.00	10.00	0	0	0	6.00	0	0
598	10.00	10.00	10.00	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
599	11.00	9.00	8.00	8	6	3	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	8.00	0	0	0	6.00	0	9.00	0	0	0	7.00	0	0	0	0	15.00	0	12.00	0	0	0	0	0
600	7.00	9.00	7.00	7	6	3	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9.00	11.00	7.00	9.00	7.00	0	0	0	0	0	0	0	0	0	6.00	0	0	0	0	0
601	12.00	12.00	0	3	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.00	0	0	0	0	10.00	0	12.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
602	11.00	13.00	14.00	7	5	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9.00	0	0	0	0	0	11.00	0	0	0	0	0	0	14.00
603	9.00	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
624	12.00	12.00	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	0	0
625	12.00	12.00	12.00	12	10	4	3	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	12.00	9.00	0	0	0	0	0	0	8.00	0	0	0	14.00	0	0	0	0	11.00	0	12.00	0	0	0	0	0
626	12.00	12.00	12.00	3	3	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.00	0	12.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
