zsjCode	dojezdy_all	dojezdy_urgent	dojezdy_very_urgent	count_all	count_urgent	count_very_urgent	DUŠNOST	ÚRAZ	BOLEST BŘICHA	PÁD	NESP.NEURO. PŘÍZ.	JINÉ POT.AK.	STENOKARDIE	JINÉ POT./ZH.STAVU	PO KOLAPSU	BEZVĚDOMÍ	NEVOLNOST	BOLEST ZAD 	PSYCHÓZA	NAPADENÍ	INTOXIKACE	SOMNOLENCE	KRVÁCENÍ	DN	HYPERT.	ARYTMIE	BOLEST DK	TEPLOTA	KŘEČE/PO KŘEČI	K PORODU	BOLEST JINÁ
1520	10.52	10.49	10.05	97	76	38	9	6	10	6	12	5	5	3	0	5	2	2	5	2	0	1	2	2	4	3	2	1	1	0	2
1538	9.35	9.25	8.36	38	29	10	3	3	3	4	2	0	2	1	1	0	3	0	2	1	2	2	3	2	0	0	2	0	1	0	0
2585	8.23	8.23	8.50	14	14	6	2	0	0	1	1	1	0	1	3	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
14133	7.10	7.13	7.37	41	32	14	4	5	3	2	1	2	2	2	1	1	2	4	2	0	1	1	0	2	1	0	1	0	0	0	1
20362	11.49	11.68	11.37	32	24	11	3	8	0	6	3	0	2	2	0	2	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0
29955	10.17	10.14	9.94	56	54	26	7	5	5	4	4	1	5	0	1	1	3	0	1	2	0	2	1	1	3	3	0	1	2	0	1
29963	9.99	9.31	9.57	17	13	5	1	4	0	0	1	1	1	0	1	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0
33332	9.82	9.65	9.50	179	139	49	14	14	14	19	13	14	9	7	4	3	11	3	7	1	2	3	3	2	4	3	3	1	1	1	3
43770	9.41	9.19	9.28	273	214	96	25	29	24	25	13	12	9	13	5	7	5	12	7	6	5	7	4	6	6	1	4	9	1	7	3
43788	8.21	8.14	8.06	459	353	154	53	45	30	32	16	25	34	16	17	16	9	16	12	7	12	5	12	11	5	12	4	8	4	5	4
43796	10.97	10.97	11.69	8	8	5	2	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
52396	11.54	12.23	10.36	18	16	9	1	3	0	2	2	0	2	1	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
52400	12.71	12.79	12.06	22	17	7	2	2	1	3	2	0	0	0	1	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0
65447	13.99	13.77	13.70	150	109	52	14	14	12	16	7	6	6	4	6	9	2	2	4	3	3	2	5	3	3	2	2	5	2	1	1
68501	11.51	11.45	11.13	58	48	22	3	6	8	5	4	3	2	4	1	6	0	1	0	0	2	1	0	1	1	1	1	2	1	0	0
68594	11.88	11.68	13.23	114	88	44	10	10	11	12	8	1	5	5	2	8	1	4	2	4	3	1	2	2	4	1	1	5	1	2	0
68608	11.70	11.70	0	2	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72621	12.97	12.32	14.29	17	14	7	3	4	1	1	1	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0
76074	10.69	11.52	9.35	10	8	2	0	2	1	1	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
83968	13.72	13.87	12.96	32	24	11	2	2	5	2	3	0	0	2	1	1	0	1	0	2	0	1	0	0	1	0	0	0	1	0	1
83976	10.47	10.56	10.50	40	38	15	4	4	2	1	3	4	4	0	1	4	5	0	0	1	0	1	0	0	2	0	1	0	1	0	0
86428	11.32	11.25	10.59	30	26	7	5	3	3	3	3	3	0	2	0	1	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0
102326	15.66	14.90	13.22	11	10	5	3	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0
120987	10.81	10.66	10.15	83	68	24	8	15	2	1	8	1	6	10	3	2	2	5	2	1	0	3	2	1	2	1	1	0	0	1	0
126993	6.52	6.49	6.19	897	696	225	45	144	37	80	25	38	39	18	76	49	31	14	24	51	51	33	5	15	5	5	6	3	16	3	3
127001	6.42	6.44	5.59	106	80	20	7	14	2	10	3	4	3	1	13	3	9	2	2	7	3	4	0	2	0	1	0	0	5	1	0
127019	6.30	6.19	5.74	465	338	126	35	62	19	48	10	21	10	10	34	30	15	8	15	34	27	14	4	8	4	7	9	5	2	1	3
127027	6.70	6.70	6.45	615	451	127	37	103	31	60	13	34	18	10	53	23	17	7	12	40	39	30	6	3	6	2	5	1	17	0	3
127035	5.89	5.83	5.70	677	506	164	47	78	32	69	32	30	30	14	56	29	31	5	14	24	25	18	3	12	12	16	13	7	15	3	3
127043	6.21	6.09	5.93	118	92	35	11	13	9	6	10	4	3	0	4	5	9	2	6	5	6	2	0	5	0	1	3	1	1	1	3
127051	6.42	6.44	6.23	1007	764	252	67	151	49	71	29	34	54	17	70	40	37	20	50	49	38	26	4	10	10	10	20	9	31	3	4
127060	5.75	5.77	6.27	16	11	4	0	3	0	0	1	0	1	0	3	1	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0
127078	6.23	6.21	6.12	1102	836	239	84	169	50	92	50	44	55	33	77	30	47	19	35	39	35	42	9	6	10	25	10	8	23	4	5
127086	5.76	5.71	5.75	431	324	105	30	60	29	35	20	18	28	6	23	9	15	6	19	13	11	9	5	8	3	13	0	4	5	2	4
127094	6.63	6.68	6.70	207	155	42	8	34	10	17	5	12	7	3	14	7	11	6	10	8	5	5	4	4	1	2	2	1	5	0	2
127108	7.05	7.24	6.87	83	64	26	3	13	7	18	2	2	5	2	1	4	4	1	3	0	2	2	1	3	1	1	1	2	0	1	0
127116	7.40	7.20	6.65	27	16	6	1	4	1	2	0	0	0	0	3	0	0	2	2	0	3	1	2	0	1	0	0	0	0	0	0
127124	6.06	6.02	6.29	48	35	14	2	7	3	3	1	2	3	0	9	1	1	1	1	0	0	1	0	3	0	2	1	1	1	0	0
127132	6.07	6.09	5.80	122	94	30	9	16	5	13	4	6	10	4	17	4	5	3	2	1	2	1	1	5	1	1	0	2	2	0	1
127141	6.52	6.39	6.39	321	253	72	17	53	15	32	8	14	12	9	28	14	20	5	9	8	4	8	2	12	0	4	7	2	8	1	2
127159	5.00	5.10	4.05	9	8	2	1	1	0	1	0	0	0	0	2	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0
127167	6.13	6.05	6.08	346	267	105	37	45	27	22	12	13	10	8	14	19	5	5	12	24	16	11	1	5	2	3	5	3	4	5	5
127175	6.06	6.02	6.28	620	447	183	66	70	46	62	14	24	21	16	42	26	17	11	18	29	25	8	13	10	6	6	11	7	11	3	5
127183	4.49	4.40	4.59	482	368	126	25	73	30	37	13	22	26	13	35	16	14	7	20	20	15	11	12	15	8	8	7	2	8	2	7
127191	NaN	5.34	5.27	333	251	94	30	40	21	20	22	11	13	7	21	10	10	10	17	12	10	3	5	11	6	5	6	3	2	3	4
127205	6.36	6.34	6.34	189	137	48	7	19	11	18	6	7	10	7	15	9	6	3	5	4	8	4	3	5	2	6	4	2	6	0	4
127213	6.36	6.25	6.10	242	191	62	19	24	16	16	8	8	13	4	9	13	10	2	21	14	8	5	5	7	1	5	4	1	6	1	3
127221	6.42	6.32	6.01	224	165	50	11	31	5	18	14	10	16	7	14	9	5	6	11	10	10	6	5	5	2	2	3	0	7	1	3
127230	6.72	6.75	6.66	117	90	27	9	10	7	12	8	10	6	2	5	4	5	2	4	3	4	2	0	1	1	7	1	0	0	1	2
