zsjCode	dojezdy_all	dojezdy_urgent	dojezdy_very_urgent	count_all	count_urgent	count_very_urgent	DUŠNOST	ÚRAZ	BOLEST BŘICHA	PÁD	NESP.NEURO. PŘÍZ.	JINÉ POT.AK.	STENOKARDIE	JINÉ POT./ZH.STAVU	PO KOLAPSU	BEZVĚDOMÍ	NEVOLNOST	BOLEST ZAD 	PSYCHÓZA	NAPADENÍ	INTOXIKACE	SOMNOLENCE	KRVÁCENÍ	DN	HYPERT.	ARYTMIE	BOLEST DK	TEPLOTA	KŘEČE/PO KŘEČI	K PORODU	BOLEST JINÁ
127248	6.43	6.42	6.54	154	111	37	10	22	13	25	11	9	4	9	3	4	3	5	2	4	2	5	2	2	1	5	0	0	1	3	1
127256	6.21	6.14	6.11	326	240	93	36	41	19	26	9	19	13	9	15	3	10	9	13	10	16	3	8	4	5	3	4	8	0	5	1
127264	6.32	6.24	6.43	187	145	59	15	19	19	17	13	10	6	13	4	4	9	4	6	1	1	4	11	1	7	2	8	1	0	0	1
127272	6.40	6.44	6.61	411	304	122	37	36	32	42	24	24	12	20	11	12	13	11	8	12	14	6	6	8	12	13	4	6	6	3	5
127281	6.26	6.23	5.87	83	60	25	8	8	9	9	4	4	5	9	3	4	0	1	1	1	1	1	2	0	1	1	1	1	0	1	1
127299	5.60	5.53	5.64	168	128	44	8	19	11	19	11	11	4	4	10	4	8	5	7	8	2	3	5	3	2	0	4	1	0	1	0
127302	4.69	4.79	4.84	148	110	44	11	13	9	14	12	4	3	3	11	8	5	9	5	5	7	1	0	8	4	2	3	0	1	0	0
127311	4.39	4.36	4.34	381	292	106	42	45	24	25	22	15	16	18	18	8	11	11	9	10	10	8	4	14	3	5	7	7	8	2	5
127329	4.89	4.79	4.72	296	240	64	17	45	12	33	13	9	9	8	29	8	12	4	11	5	8	10	1	14	4	2	4	4	7	3	3
127337	6.35	6.30	6.17	237	173	72	20	25	13	30	14	9	16	3	9	4	7	9	6	5	6	9	11	7	3	1	6	3	0	3	3
127345	7.48	7.58	7.83	69	53	16	4	7	7	4	7	2	3	5	4	2	1	4	4	0	2	2	1	1	1	2	0	3	0	0	0
127353	7.18	7.20	7.07	337	272	119	48	19	25	26	22	14	18	22	4	17	8	7	10	4	4	11	7	1	5	8	2	4	4	1	2
127361	6.31	6.51	6.94	79	59	23	7	7	7	3	1	5	6	3	5	2	1	4	3	3	1	2	1	4	0	0	0	2	3	1	0
127370	6.06	6.11	6.17	225	186	62	16	16	19	12	18	12	17	9	14	5	9	6	5	4	8	4	4	6	1	2	4	2	2	1	2
127388	5.92	5.78	5.66	319	239	89	15	41	26	20	9	13	13	13	13	15	11	6	25	15	15	3	3	4	4	5	2	5	7	5	6
127396	5.67	5.63	5.98	262	207	73	21	26	22	17	10	14	12	7	13	4	8	10	24	6	8	10	1	3	5	1	4	5	1	2	1
127400	6.52	6.52	6.44	483	379	146	46	46	46	28	30	15	25	14	21	16	23	10	22	23	15	7	6	10	1	1	5	5	6	4	6
127418	6.15	6.17	6.09	326	261	114	24	35	33	18	10	11	18	16	16	10	11	11	5	5	7	2	6	5	3	6	6	8	4	8	4
127426	7.21	7.17	7.05	365	284	138	50	28	31	30	27	12	16	15	10	12	9	11	8	4	6	6	12	4	5	1	8	7	4	2	5
127434	8.32	8.38	8.21	136	97	39	14	21	8	7	9	7	6	6	3	4	2	4	9	5	2	1	1	1	3	1	4	2	1	4	1
127442	NaN	NaN	NaN	169	119	49	12	23	15	12	9	8	7	5	5	4	7	6	4	3	3	3	6	2	7	7	5	1	2	2	1
127451	8.49	8.35	8.03	339	248	98	37	22	21	32	24	18	11	29	6	12	7	9	8	1	8	7	11	6	10	3	8	7	2	4	3
127469	7.82	7.74	8.02	94	76	47	11	6	14	5	7	3	5	4	2	5	0	2	0	0	0	3	3	2	1	0	2	4	1	2	1
127485	6.90	7.15	7.53	16	13	3	2	4	0	0	2	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
127493	5.45	5.43	5.43	328	246	78	27	45	15	42	6	18	9	16	21	12	11	5	15	8	7	2	9	4	5	7	2	2	7	1	2
127507	5.57	5.56	5.48	187	137	42	14	22	17	20	8	11	11	4	10	5	8	2	4	4	5	6	5	1	4	3	3	1	4	0	1
127515	5.37	5.40	5.60	231	172	69	26	19	13	28	12	10	10	9	16	7	5	8	5	4	8	5	3	2	7	2	2	2	5	1	3
127523	5.71	5.75	6.00	182	140	53	12	20	13	25	13	6	8	7	3	6	6	3	3	6	4	3	5	5	5	4	2	3	2	4	2
127531	5.52	5.53	5.42	438	350	136	33	44	41	25	16	12	20	21	21	11	18	12	17	12	16	2	11	9	4	4	5	6	5	6	7
127540	5.89	5.92	5.79	321	250	101	31	31	28	24	16	19	14	10	9	7	13	13	14	7	7	9	9	8	3	3	0	5	5	1	5
127558	6.19	6.21	6.21	308	228	105	27	29	33	29	15	10	12	10	13	6	13	10	8	4	12	7	8	2	5	4	4	6	5	7	3
127566	6.32	6.31	6.20	318	248	104	20	29	28	23	20	14	16	8	11	8	15	14	10	12	8	5	7	5	6	3	6	5	3	6	2
127574	6.36	6.41	6.23	124	99	48	10	15	12	9	5	4	5	3	8	8	3	5	4	3	3	3	2	0	2	1	0	4	1	0	3
127582	6.44	6.42	6.17	174	144	66	6	16	21	15	7	5	13	4	2	7	5	9	5	8	7	2	3	10	0	1	0	1	1	7	2
127591	7.43	7.42	7.14	341	262	110	42	15	34	20	21	32	15	17	15	11	14	6	6	5	4	2	7	4	8	20	4	4	2	0	3
127604	6.94	6.78	7.06	116	91	48	18	8	10	5	6	4	9	3	6	6	2	5	1	1	1	3	1	2	1	1	2	0	0	3	2
127612	7.34	7.25	6.85	216	171	87	30	13	23	11	11	8	13	13	8	8	5	9	1	3	5	6	5	6	4	2	3	3	1	0	5
127621	7.58	7.41	7.01	295	237	92	25	24	23	27	15	17	13	18	27	10	5	8	8	4	9	8	4	3	5	8	5	1	4	3	3
127639	7.90	8.08	8.13	45	33	15	7	8	3	3	5	1	1	2	2	0	0	3	0	0	1	0	0	0	2	2	0	0	1	2	0
127647	8.16	7.99	7.46	356	272	128	40	27	29	22	25	9	22	19	13	12	11	14	6	5	8	6	9	2	11	11	5	7	1	3	3
127655	6.79	6.92	8.39	22	21	8	2	1	0	1	1	1	1	2	0	1	2	2	1	0	0	1	1	3	0	0	0	0	1	0	0
127663	7.43	7.37	7.14	73	58	31	7	4	10	4	1	6	2	4	1	3	3	0	2	1	2	2	4	2	4	0	0	1	0	2	0
127671	5.94	5.80	5.58	53	44	23	7	6	5	1	1	2	4	0	0	3	1	2	4	0	1	3	2	0	2	0	2	1	0	0	0
127680	7.76	7.80	6.42	23	19	9	3	5	2	1	1	1	0	0	0	1	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0
127698	7.42	7.32	7.09	131	107	54	20	8	13	10	4	8	6	6	3	6	4	5	5	0	1	2	5	0	3	0	4	1	1	0	1
127701	7.71	7.75	7.44	117	95	34	15	11	12	10	4	9	8	8	8	3	3	3	1	3	0	2	1	1	0	1	1	1	0	2	1
127710	8.22	8.21	7.59	92	65	18	12	5	5	12	8	6	1	7	4	1	1	2	4	4	2	0	1	0	1	0	1	1	0	1	3
127728	7.48	7.36	7.25	364	289	115	34	39	23	22	26	18	16	13	23	20	10	12	16	7	8	3	8	3	10	7	3	1	5	5	1
127736	7.97	7.97	7.71	231	179	80	25	16	20	18	16	18	14	6	7	3	10	16	5	7	2	1	6	1	4	1	4	3	1	3	0
127744	7.75	7.90	7.19	85	65	24	7	7	6	4	9	3	7	4	2	2	4	5	1	1	1	1	0	1	3	2	2	1	0	1	0
127752	8.08	7.85	7.36	230	182	79	16	18	12	13	16	14	19	3	12	11	10	9	7	1	3	3	3	6	7	6	8	4	2	3	3
127761	8.44	8.36	7.72	256	208	91	31	24	21	14	19	8	12	12	5	11	10	6	6	7	8	5	6	1	2	1	5	3	2	4	4
127779	6.65	5.89	5.41	9	7	3	0	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
127787	6.99	6.91	6.44	152	121	54	28	9	6	8	7	13	8	9	8	7	2	1	5	3	2	5	3	1	3	4	2	1	2	2	3
127795	6.85	6.81	7.18	20	14	6	2	1	2	0	2	0	1	0	1	3	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0
127809	6.81	6.79	7.10	266	202	97	35	15	26	20	18	10	12	10	12	11	7	12	5	8	3	2	11	2	8	5	5	1	2	2	1
127817	7.19	7.28	7.32	155	114	50	18	9	6	6	3	10	17	9	6	5	2	4	1	3	3	2	5	6	7	5	1	1	1	1	3
127825	7.11	7.14	6.92	173	131	62	24	10	15	14	5	11	9	10	8	9	5	3	10	1	2	2	6	0	5	4	2	2	0	1	3
127833	7.14	7.14	7.17	136	109	41	12	7	6	11	11	6	9	10	4	5	6	6	10	0	0	2	7	2	3	4	4	1	3	1	1
127841	9.02	9.27	10.19	34	27	12	4	3	1	0	2	2	1	3	1	1	0	1	1	1	2	0	0	0	2	0	0	0	0	3	2
127850	8.37	8.46	8.44	127	94	39	17	15	8	9	4	5	11	9	1	3	4	5	1	1	2	3	0	2	2	3	3	4	0	1	0
127868	6.81	6.54	6.75	54	47	21	11	3	4	0	3	4	4	3	1	2	0	3	3	0	1	2	0	1	0	2	0	0	0	0	0
127876	6.63	6.68	6.31	107	88	48	14	13	9	9	6	5	4	4	1	7	1	5	1	2	0	0	4	0	2	3	1	2	1	0	0
127884	6.77	6.70	6.79	218	179	84	34	14	22	11	15	12	18	10	8	6	5	6	3	3	4	3	3	2	0	9	3	2	1	3	2
127892	6.99	6.93	6.93	127	95	34	8	11	12	11	13	6	4	5	5	2	3	3	3	3	3	1	4	2	3	4	3	1	2	1	1
127906	7.89	7.84	7.65	212	157	61	23	25	17	22	7	8	6	14	8	8	7	5	8	11	7	0	1	2	3	3	1	2	3	1	2
127914	7.80	7.74	7.29	41	32	13	2	7	4	1	4	0	2	0	4	2	2	1	1	0	1	1	1	0	0	2	1	0	0	0	0
127922	6.82	6.63	6.39	200	160	59	16	21	16	10	9	12	15	13	9	4	9	6	4	4	4	5	3	6	5	6	0	3	4	0	2
127931	6.91	6.84	6.88	517	403	155	61	40	39	31	36	23	34	13	21	15	18	19	14	14	14	7	8	6	8	16	5	7	4	2	4
127949	7.04	7.11	7.12	129	99	34	8	12	10	15	8	8	6	6	5	1	6	3	4	2	4	2	2	1	3	3	2	1	4	0	1
127957	6.67	6.63	6.41	261	204	74	27	26	15	17	16	8	19	15	8	8	14	10	8	7	5	7	4	2	2	4	4	4	4	2	3
127965	7.41	7.33	7.01	553	413	198	83	52	44	44	25	15	33	23	17	21	12	12	9	8	14	17	12	5	15	6	8	12	3	8	6
127973	7.21	6.98	7.01	63	49	21	6	12	5	4	2	2	3	1	4	3	2	3	1	3	2	0	0	2	0	0	2	2	1	1	0
127981	8.12	8.31	9.20	14	12	5	2	2	0	0	0	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	1
127990	7.42	7.20	7.02	249	191	90	31	14	25	33	20	9	13	8	7	9	6	5	7	1	7	7	6	2	5	3	5	1	1	2	3
128007	7.28	7.29	7.56	52	41	17	1	3	5	2	4	6	5	1	2	1	1	0	0	0	0	0	1	0	1	11	0	0	0	0	0
128015	7.45	7.48	7.79	59	42	16	6	10	4	8	5	2	4	5	3	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0	2
128023	8.42	8.49	7.67	66	53	17	4	7	1	10	7	1	2	3	5	3	6	0	0	0	1	2	2	1	2	0	2	0	0	0	1
128031	8.48	8.22	7.78	35	28	19	3	2	5	2	1	1	3	1	1	1	0	2	0	1	0	0	0	0	3	0	0	2	0	2	1
128040	6.43	6.52	7.30	51	35	11	1	7	1	7	0	3	3	0	4	3	1	1	4	2	0	0	0	2	0	0	0	1	3	2	1
128058	7.99	7.93	8.04	435	332	149	59	26	32	32	22	21	22	32	13	14	20	13	8	8	6	3	9	3	9	19	5	9	3	2	6
128066	7.57	7.57	7.61	273	202	96	29	20	37	34	7	14	16	14	5	12	6	7	4	1	3	9	7	4	7	4	7	0	4	0	2
128074	7.64	7.65	8.00	173	130	53	21	17	15	19	13	16	4	7	5	3	6	4	6	4	2	1	3	2	3	1	3	1	1	2	3
128082	8.76	8.67	8.54	39	31	16	7	3	4	2	1	3	3	1	0	0	1	2	3	0	1	0	0	0	0	0	2	1	0	1	0
128091	7.80	7.43	8.11	20	17	5	1	2	1	2	1	0	2	1	3	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0
128104	10.03	9.93	0	3	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128112	4.55	4.65	5.87	69	50	18	4	6	4	3	2	3	2	4	1	2	2	0	2	3	1	0	1	4	3	1	2	2	0	1	2
128121	4.85	4.84	4.83	275	205	82	29	19	20	24	13	15	11	17	5	9	11	6	10	3	3	3	5	5	8	6	7	3	3	1	2
128139	6.53	6.53	6.49	94	73	24	4	16	5	9	4	1	3	3	3	2	7	2	4	1	6	1	2	6	1	1	2	0	1	1	1
128147	5.75	5.72	5.43	146	105	37	10	26	4	14	8	6	7	0	9	6	4	7	2	3	4	2	2	8	3	2	1	1	4	1	2
128155	6.16	6.18	6.17	242	183	77	27	25	25	17	14	10	16	8	8	9	6	5	9	1	7	3	0	3	4	6	5	5	5	0	4
128163	6.49	6.38	6.55	246	199	86	23	21	21	16	10	9	10	12	9	9	7	7	9	10	3	7	5	4	7	6	2	2	5	3	2
128171	5.85	5.92	5.68	281	219	87	21	30	26	20	13	6	12	8	13	2	9	9	13	5	8	5	10	7	5	6	3	9	3	3	5
128180	6.37	6.21	6.18	13	10	4	2	1	1	0	1	2	0	0	0	0	2	2	0	0	1	0	0	1	0	0	0	0	0	0	0
128198	6.53	6.48	6.50	352	265	116	32	27	33	30	20	18	15	15	8	12	10	6	14	12	7	7	10	5	2	5	10	5	3	6	6
128201	7.45	7.46	7.32	747	581	229	101	51	42	54	62	33	47	37	16	27	26	14	33	10	14	16	20	4	7	19	11	8	12	10	12
128210	6.98	7.01	6.54	178	140	59	21	18	12	7	14	10	11	3	6	9	7	3	3	4	5	2	4	6	2	3	4	3	3	1	1
128228	5.78	5.58	5.51	419	299	129	53	50	50	36	16	29	18	33	6	6	7	9	9	1	6	13	4	1	14	6	12	3	6	2	4
128236	5.93	5.90	6.18	381	300	135	44	39	35	25	20	18	21	14	11	11	16	11	12	7	7	5	7	7	12	11	4	7	2	5	4
128244	12.50	15.27	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
128252	7.47	7.39	7.48	321	236	110	48	28	27	29	14	9	13	22	9	10	11	4	8	3	2	12	8	2	12	7	3	4	3	0	3
128261	7.06	7.36	6.98	295	223	96	21	26	35	21	15	15	11	8	11	7	8	4	3	17	13	8	7	8	9	3	2	4	3	2	3
128279	7.67	7.62	7.80	144	120	51	17	6	7	16	8	5	8	9	6	8	7	5	10	0	4	2	1	8	4	1	3	1	2	1	0
128287	7.75	7.62	7.45	503	385	169	58	42	50	21	29	30	25	16	23	19	10	7	7	9	13	5	10	4	17	24	7	7	9	10	3
128295	7.19	7.22	7.07	208	158	66	26	14	16	14	16	6	9	13	9	7	11	3	3	7	2	6	6	1	4	4	3	2	4	2	5
128309	8.21	7.93	7.86	98	70	32	7	16	10	3	5	2	2	0	3	7	3	4	1	8	6	1	0	1	0	1	4	3	2	2	3
128317	8.91	8.94	9.32	118	88	37	12	13	8	10	2	7	8	5	5	5	4	4	4	2	2	2	3	2	1	5	1	1	2	0	2
128325	9.34	9.04	7.82	102	77	35	11	14	7	8	9	2	3	3	7	1	3	2	0	2	1	2	5	2	2	3	2	1	2	1	0
128333	10.62	10.62	0	3	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128341	9.27	8.96	9.02	18	17	6	1	4	1	0	0	1	0	0	1	2	0	1	1	0	0	0	0	1	0	0	0	0	2	1	1
128350	10.38	9.34	9.15	14	8	6	0	1	3	2	0	0	1	0	1	0	0	0	0	1	0	1	2	1	1	0	0	0	0	0	0
128368	9.63	9.70	9.03	60	50	16	6	3	5	1	6	4	1	4	2	3	3	1	2	0	2	4	0	1	0	0	0	1	1	1	2
128376	9.52	8.06	6.00	6	4	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0
128384	11.11	11.11	8.97	7	7	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
128392	9.64	9.64	9.23	159	125	67	36	11	10	5	9	6	7	2	5	4	6	5	4	8	2	2	1	4	5	7	1	3	3	3	2
128406	9.58	9.62	9.86	202	160	77	30	8	21	12	10	11	9	14	6	7	2	6	6	6	3	4	4	2	2	3	5	5	2	1	5
128414	8.48	8.50	8.32	182	131	66	26	17	20	14	9	10	5	9	3	7	2	12	5	7	4	3	4	1	3	2	5	4	2	0	0
128422	8.78	8.78	8.90	95	73	40	15	5	11	9	6	4	3	4	2	6	3	2	3	1	1	1	1	1	1	0	1	4	0	0	0
128431	8.88	8.97	8.77	316	252	99	37	21	27	18	17	23	22	39	6	6	8	6	2	3	2	10	6	3	4	4	4	9	3	6	2
128449	9.73	9.98	10.20	28	22	13	0	3	4	3	1	1	1	1	0	1	0	2	0	0	0	0	1	0	2	1	0	1	1	1	1
128457	9.99	9.84	9.00	49	44	20	12	2	3	1	3	2	4	2	1	1	3	2	4	0	0	0	1	0	0	0	0	0	0	0	2
128465	9.90	9.87	9.64	227	188	89	25	14	18	12	14	9	12	7	8	8	9	9	9	6	6	6	6	0	4	4	2	6	1	3	5
128473	10.64	10.65	10.66	169	129	60	16	16	19	11	11	7	5	8	4	6	5	13	1	4	3	4	6	0	2	3	3	0	2	3	2
128481	10.82	10.73	10.85	76	60	26	10	6	7	4	6	3	4	3	0	2	5	2	2	1	0	1	1	0	2	1	4	0	0	0	2
128490	13.05	12.97	12.94	8	7	4	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128503	10.11	10.74	9.90	20	11	7	3	1	2	3	0	1	0	0	0	0	1	1	0	2	1	0	0	1	1	0	0	0	0	0	1
128511	9.86	9.80	9.75	81	64	29	15	4	5	7	8	2	4	4	0	3	2	0	1	1	0	2	2	2	1	1	2	3	1	1	0
128520	10.03	10.51	11.06	30	22	10	3	5	1	3	2	1	0	0	0	2	1	2	1	3	1	1	0	2	0	0	0	0	0	0	0
128538	9.33	9.32	9.46	20	14	6	4	0	0	1	1	0	1	1	1	1	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0
128546	10.09	10.91	13.61	12	9	2	1	1	1	2	0	1	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0
128554	8.12	8.42	8.20	10	8	2	0	1	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0
128562	8.69	8.55	8.97	22	14	12	1	1	0	0	0	0	1	0	0	4	0	2	0	3	3	0	2	1	1	0	2	0	0	0	1
128571	9.74	9.67	9.81	124	101	52	21	7	9	6	7	8	10	9	3	4	3	4	2	1	3	2	6	0	4	3	5	0	1	1	0
128589	9.07	9.04	9.06	232	174	79	26	21	18	11	10	9	12	9	12	6	1	8	11	5	3	4	4	5	7	12	7	5	1	2	1
128597	9.97	10.30	7.83	13	8	2	1	3	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0
128601	9.23	9.08	9.09	120	95	44	11	6	10	10	6	2	4	6	5	1	3	8	4	2	9	3	3	1	3	4	3	1	2	1	1
128619	9.15	9.39	9.55	199	147	58	22	15	15	13	14	11	9	6	12	9	8	6	2	0	1	2	2	4	6	14	3	3	1	3	2
128627	9.01	9.17	10.00	45	31	8	3	7	1	6	1	2	1	3	1	0	2	1	1	2	0	0	0	5	1	2	1	1	1	0	0
128643	6.82	7.04	6.84	104	77	38	10	11	11	9	9	4	4	1	5	10	1	1	1	2	4	1	2	0	1	3	2	1	0	1	1
